student_id,job
6c61b48a3e68d7810fe6c47aa69bf123,Software Tester
c7605751af1a39f5d7e35159038b5211,Firmware Developer
0a079386e7934625831ece1087ae915f,Mobile Developer
55222ca81ca73662048c05ba69243685,Mobile Developer
a1145995e321897b60617525829e507c,Software Engineer
24d411247cb41b2ecea0fe3d3dbc94ab,Programmer
46a1e8e78f7340b7454d0041238fdf30,Software Engineer
a85bfa671ba7196bc95c9aecce7ffe86,Software Developer
2b25ba620f6313a62a0727fdae38d13e,Full stack developer
0faeb665c628f8c3a41f327a57a8575c,Software Tester
84244e4340b039daa5fa474edfebb110,UX Designer
90b6b34e9a6d0b846c0b176115e7d5b6,business intelligence
44199bcce9cc2e3d6f46c8489d2689f1,Software Developer
bb4e051171993c63c9e0717260052615,Software Engineer
e72ad5d4d7441b947de1872ef908826c,Personal bussiness
04b011dab88861100de77e5bc03f8dcf,Software Engineer
5c0a54e49d6c2a5732f34ed0f319f439,Backend Developer
a0e1e9b5b3446e27eec066af0cd36cb0,Programmer
f2e5835eb5336ebf0a83469f7822928f,Data Analyst
cb1d53d24af443c5a7cad5236a45849f,Frontend Developer
a480f70b9f13a85a152e3308d9b227dd,Software Developer
223b34b45d624c6e2015f08036b92a94,Software Developer
65365996c5164fe1983a09e6fef3687e,UX / UI Designer
78fee4606c034f47f85e9e1a827e4fca,Software Engineer
6614c711fcc9484ee415167a24d96ee9,Mobile Developer
63ff5b2e627f0162eb706e16098a6001,Software Tester
fb526a3d482781aa089dd11a8c4a627c,Software Developer
0f99cada2ddd12e887fa0fda8d690b12,Full Stack Developer 
35d9f45f957f55c57b9d983afceeaab2,Software Engineer
52a5ed08a47d50ed4a4cad3b7ac6d312,Mobile Developer
839f9b47419d9b8f442514d1da429e34,Software Engineer
a00b4a2d58030dede1e0020f47521ae6,UX Designer
0f6119a28800d31fbb88ceddb6554573,Data Engineer
fd61ed4f5310a2212ad543aedbb30ba5,Frontend Developer
3ac00e4c4710ac58f180405f45da8205,Software QA
f1897be137c1342811f9007fbf100416,Mobile Developer
3b387161d63eca3a4f643b339c2072a0,Software Engineer
1e288fce0b96e3c2028f79cb33365db1,IT Infrastructure
732d85012d4d210e0b85b353c494326d,UXUI Designer
d7f1edbe586f9b607c1a18b04e60310f,Software Developer
15eef5c71ce09039ae9c104849bd3a47,Software Developer
a208cc29835c203e85bd2e42897b654f,Data Engineer
c8a67d514a86e641f8abce6a7cdb1cb5,Study on Master’s degree
ade413e89382e372b36bbc43463ae208,Software Developer
44ae02b1e659304d4c84bbbe9a0d2ed5,Software Developer
e329684c1acc8491b4f6ef7527479718,ไม่มีงาน
7d52033d2dd37502c500d662a47a1644,Software Engineer
281fe9d151f59e1478923fa3b4dca561,Robotics Engineer
58ffd73633a0ab41c74e5fda9fd21eb1,AI Developer
e576e70093c4c6f09032dac6f957da0f,Data Engineer
30ae5cf3525de5adad2fe7a640edb170,Software Developer
9c750aa6055ecfa833b8445d7ffb2f43,Software Engineer
86e238f6c93de8c0e331de248ef96efa,Mobile Developer
456b8f1b67de57e6c73aab076d243b1e,Software Engineer
369de0d1705c114be43b7343ed065f12,UX Designer
3c2d8ec9b2140a29a4532363f77812fe,Software Engineer
cba952561bb7ec2e87262ab3861b226b,Programmer
ade413e89382e372b36bbc43463ae208,Backend Developer
a2d6c8938fd8e4daeb37f8028cb7a5ea,Software Engineer
f304f24c6e6a8f43a88ec6e5962c631a,Backend Developer
6c61b48a3e68d7810fe6c47aa69bf123,Software Tester
51c0ad6220d1cc767f4c2fb4cda2ac1c,Software Engineer
badfd1cc7647cc38868f63578825ae59,Backend Developer
22f3c0d8f73f31831963f95c800f9eb4,Software Engineer
1526d3adcb4b149f05c0c2f20e55fb86,Programmer
ea3069733251752fa24e430e3d73ec94,Network Administator
6f3da1068c00358c8ec72513300dba8f,Ux/ui designer
b7da485f490db705e21b25a09259df92,Frontend Developer
8015c6ea4266753ba502a8c70c210a05,Software Engineer
d7f1edbe586f9b607c1a18b04e60310f,Software Developer
5e1aafb617d6098bd61a38e5e811ef90,Project Manager
cfc97a31724ea1f87e31b5982a3e527c,UX/UI Designer
9a584c9433b0dce2524bdb540664c925,Software Engineer
46a1e8e78f7340b7454d0041238fdf30,Software Engineer
